REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
01 - Ilocos Region,Mariano Marcos State University-Main,SUC Main,Ilocos Norte,Batac City,http://www.mmsu.edu.ph,(077) 600-0459,
01 - Ilocos Region,Mary Help of Christians College Seminary,Private,Pangasinan,Dagupan City,http://www.mariaauxilium.blogspot.com,(075) 529-9288,
01 - Ilocos Region,Mariano Marcos State University-College of Aquatic Sciences and Applied Technology,SUC Satellite,Ilocos Norte,Currimao,http://www.mmsu.edu.ph,(077) 676-0005,
01 - Ilocos Region,Mariano Marcos State University-College of Agriculture and Forestry-Dingras,SUC Satellite,Ilocos Norte,Dingras,http://www.mmsu.edu.ph,(077) 600-0459; (077) 784-7083,
01 - Ilocos Region,Mariano Marcos State University-College of Teacher Education-Laoag City,SUC Satellite,Ilocos Norte,Laoag City,http://www.mmsu.edu.ph,(077) 600-0459; (077) 670-7964,
01 - Ilocos Region,Mariano Marcos State University-College of Industrial Technology-Laoag City,SUC Satellite,Ilocos Norte,Laoag City,http://www.mmsu.edu.ph,(077) 600-0459; (077) 772-2716,
01 - Ilocos Region,Northern Christian College,Private,Ilocos Norte,Laoag City,http://www.ncc.edu.ph,(077)772-00-52 (077)772-1864; (077)772-06-87,
01 - Ilocos Region,Northern Luzon Adventist College,Private,Pangasinan,Sison,http://www.nlac.edu.ph,(075)632-2290 (075) 632-2276; 0917-5975659,
01 - Ilocos Region,Northern Philippines College for Maritime Science and Technology,Private,La Union,San Fernando City,http://www.npcmstsfc.com,(072) 242-5676; (077) 607-8225,
01 - Ilocos Region,Northwestern University,Private,Ilocos Norte,Laoag City,http://www. nwu.edu.ph,(077) 771-3814; (077) 670-8607 to 10,
01 - Ilocos Region,Osias Educational Foundation,Private,La Union,Balaoan,,(072) 607-0195; (072) 607-0142,
01 - Ilocos Region,Palaris College,Private,Pangasinan,San Carlos City,,(075) 532-3847; (075) 634-1810,
01 - Ilocos Region,Panpacific University,Private,Pangasinan,Urdaneta City,http://www.panpacificu.edu.ph,(075) 632-3079; (075) 632-7867,
01 - Ilocos Region,Pangasinan Merchant Marine Academy,Private,Pangasinan,Dagupan City,http://www.pammaonline.com,(075) 529-5989; (075) 529-3035; (075) 523-0753,
01 - Ilocos Region,Pangasinan State University,SUC Main,Pangasinan,Lingayen,http://www.psu.edu.ph,(075) 523-1682; (075) 206-0804,
01 - Ilocos Region,Pangasinan State University-Open University,SUC Satellite,Pangasinan,Lingayen,http://www.psu.edu.ph,(075) 542-6464; (075) 542-6467; (075) 542-6466; (075) 542-8694,
01 - Ilocos Region,Pangasinan State University-Alaminos City,SUC Satellite,Pangasinan,Alaminos City,http://www.psu.edu.ph,(075) 600-8016; (072) 206-0802,
01 - Ilocos Region,Perpetual Help College of Pangasinan,Private,Pangasinan,Malasiqui,http://www.uphsl.edu.ph,(075) 632-1040,
01 - Ilocos Region,Polytechnic College of La union,Private,La Union,Agoo,,(072) 687-5953; (072) 607-9510; (072) 687-5953,
01 - Ilocos Region,Philippine College of Science and Technology,Private,Pangasinan,Calasiao,http://www.philcst.edu.ph,(075) 523-0894; (075) 522-8032,
01 - Ilocos Region,PIMSAT Colleges-Dagupan,Private,Pangasinan,Dagupan City,http://www.pimsatcolleges.educ.ph,(075) 522-1808; 522-0802,
01 - Ilocos Region,Pangasinan State University-Asingan,SUC Satellite,Pangasinan,Asingan,,(075) 563-2525,
01 - Ilocos Region,Pangasinan State University-Bayambang,SUC Satellite,Pangasinan,Bayambang,,(075) 592-2207,
01 - Ilocos Region,Pangasinan State University-Binmaley,SUC Satellite,Pangasinan,Binmaley,,(075) 543-3012; (075) 542-6466,
01 - Ilocos Region,Pangasinan State University-Infanta,SUC Satellite,Pangasinan,Infanta,,,
01 - Ilocos Region,Pangasinan State University-San Carlos City,SUC Satellite,Pangasinan,San Carlos City,,(075) 532-2235; (075) 542-6467,
01 - Ilocos Region,Pangasinan State University-Sta. Maria,SUC Satellite,Pangasinan,Sta. Maria,,(075) 574-5159,
01 - Ilocos Region,Pangasinan State University-Urdaneta City,SUC Satellite,Pangasinan,Urdaneta City,,(075) 568-2040; (075) 568-2568; (075) 568-2556,
01 - Ilocos Region,Saint Columban's College,Private,Pangasinan,Lingayen,,(075) 633-0381 ; (075) 653-1591; (075) 662-0385,
01 - Ilocos Region,Saint Louis College-City of San Fernando,Private,La Union,San Fernando City,http://www.slc-sflu.edu.ph,(072) 242-5535; (072) 242-5536; (072) 888-3955,
01 - Ilocos Region,Saint Mary's College Sta. Maria Ilocos Sur,Private,Ilocos Sur,Sta. Maria,,(077) 732-5629,
01 - Ilocos Region,Saint Paul College of Ilocos Sur,Private,Ilocos Sur,Bantay,http://www.spcis.edu.ph,(077) 674-2457,
01 - Ilocos Region,San Carlos College,Private,Pangasinan,San Carlos City,http://www.sancarloscollege.edu.ph,(075)636-1773 (075)636-1776,
01 - Ilocos Region,Sea and Sky College,Private,La Union,San Fernando City,,(072) 607-4224,
01 - Ilocos Region,Union Christian College,Private,La Union,San Fernando City,http://www.ucc.edu.ph,(072) 888-3340,
01 - Ilocos Region,University of Northern Philippines,SUC Main,Ilocos Sur,Vigan City,http://www.unp.edu.ph,(077) 722-2810,
01 - Ilocos Region,University of Pangasinan,Private,Pangasinan,Dagupan City,http://www.up.phinma.edu.ph,(075) 522-2496; (075) 522-5635 to 37,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Main Campus,SUC Main,Ilocos Sur,Candon City,http://www.nlpsc.edu.ph,(077) 644-0210,
01 - Ilocos Region,NJ Valdez Colleges Foundation,Private,Pangasinan,Villasis,,(075) 515-2384,
01 - Ilocos Region,Urdaneta City University,LUC,Pangasinan,Urdaneta City,http://www.ucu.edu.ph,(075) 568-2475; (075)600-1468,
01 - Ilocos Region,Virgen Milagrosa University Foundation,Private,Pangasinan,San Carlos City,http://www.vmuf.edu.ph,(075) 532-3642; (075) 632-4092; (075) 955-5222; (075) 203-0000; (075) 632-4033; (075) 955-5707,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Engineering and Technology-Santiago,SUC Satellite,Ilocos Sur,Santiago,http://www.ispsc.edu.ph,(077) 723-0295,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Arts and Sciences-Tagudin,SUC Satellite,Ilocos Sur,Tagudin,wwwispsc.edu.ph,(077) 652-2093; (077) 735-5512; 0917-8919662,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Fisheries and Marine Sciences-Narvacan,SUC Satellite,Ilocos Sur,Narvacan,,,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Cervantes,SUC Satellite,Ilocos Sur,Cervantes,,,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Candon,SUC Satellite,Ilocos Sur,Candon City,http://www.ispsc.edu.ph,(077) 742-5228; 0936-7282009,
01 - Ilocos Region,Metro-Dagupan Colleges,Private,Pangasinan,Mangaldan,,(075) 522-6367; (075) 658-0535,
01 - Ilocos Region,Pass College,Private,Pangasinan,Alaminos City,,(075) 654-1020; (075) 654-0001,
01 - Ilocos Region,AMA Computer College-Pangasinan,Private,Pangasinan,Calasiao City,http://www.amaes.edu.ph,(075) 633-8125; (075) 523-1420,
01 - Ilocos Region,AMA Computer College-Laoag City,Private,Ilocos Norte,Laoag City,amaes.edu.ph,(077) 771-7489; (077) 777-17488,
01 - Ilocos Region,Lyceum Northwestern University,Private,Pangasinan,Dagupan City,http://www.lycem-edu.ph,(075) 515-8682 (075) 516-2434; (075) 516-2433,
01 - Ilocos Region,STI College-Dagupan,Private,Pangasinan,Dagupan City,http://www.sti.edu.ph,(075) 522-2557; (075) 653-3668,
01 - Ilocos Region,AMA Computer College-La Union,Private,La Union,San Fernando City,http://www.amaes.edu.ph; http://www.ama.edu.ph,(072) 242-6418,
01 - Ilocos Region,Golden West Colleges,Private,Pangasinan,Alaminos City,,(075) 552-7382,
01 - Ilocos Region,Lyceum Northwestern University-Urdaneta Campus,Private,Pangasinan,Urdaneta City,http://www.lyceum.edu.ph,(075) 568-7342; (075) 516-2433,
01 - Ilocos Region,Data Center College of the Philippines-Vigan City,Private,Ilocos Sur,Vigan City,,(077) 604-7294,
01 - Ilocos Region,Colegio San Jose De Alaminos,Private,Pangasinan,Alaminos City,,(075) 529-3326; (075) 529-5535,
01 - Ilocos Region,Colegio De San Juan De Letran-Manaoag,Private,Pangasinan,Manaoag,,(075) 529-0506,
01 - Ilocos Region,South Ilocandia College of Arts and Technology,Private,La Union,Aringay,,(072) 607-9408,
01 - Ilocos Region,La Union College of Science and Technology,Private,La Union,Bauang,http://www.lucst.net,(072) 607-2644; (072) 607-7286,
01 - Ilocos Region,Mystical Rose College of Science and Technology,Private,Pangasinan,Mangatarem,,(075) 632-3435,
01 - Ilocos Region,St. Therese College Foundation,Private,Pangasinan,San Carlos City,,075 955-5370,
01 - Ilocos Region,ABE International College of Business and Accountancy-Urdaneta City,Private,Pangasinan,Urdaneta City,http://www.abe.edu.ph,(075) 586-8130; (075) 656-2028,
01 - Ilocos Region,Panpacific University North Philippines-Tayug,Private,Pangasinan,Tayug,http://www.punptayug.edu.ph,(075) 632-1557,
01 - Ilocos Region,Kingfisher School of Business & Finance,Private,Pangasinan,Dagupan City,,(075) 515-4697; (075) 653-2856,
01 - Ilocos Region,NICOSAT Colleges,Private,Ilocos Sur,Candon City,,(077) 674-0367,
01 - Ilocos Region,St. Camillus College of Manaoag Foundation,Private,Pangasinan,Manaoag,http://www.stcamillus.educ.ph,(075) 529-1246; (075) 519-5200,
01 - Ilocos Region,International College for Excellence,Private,Pangasinan,Urdaneta City,http://www.ice.edu.ph,(075) 568-7660; (075) 632-2662; (075) 568-4301,
01 - Ilocos Region,Philippine College of Northwestern Luzon,Private,La Union,Agoo,,(072) 607-0406; 607-3883;(072)710-0290,
01 - Ilocos Region,Philippine Darakbang Theological College,Private,Pangasinan,Binalonan,,(075) 202-1099,
01 - Ilocos Region,Saint John Bosco College of Northern Luzon,Private,La Union,San Fernando City,http://www.johnboscocollege.com,(072) 607-5373; (072) 607-3368; (072) 700-0046,
01 - Ilocos Region,University of Eastern Pangasinan,LUC,Pangasinan,Binalonan,,(075) 562-5874; (075) 562-7327; (075) 562-2020,
01 - Ilocos Region,Rosales-Wesleyan Bible College,Private,Pangasinan,Rosales,http://www.rwbc.websterts.com/index.hotmail,(075) 632-2040,
01 - Ilocos Region,La Union Christian Comprehensive College,Private,La Union,Rosario,,(072) 712-0140; 0920-963-1880,
01 - Ilocos Region,Immaculate Conception School of Theology,Private,Ilocos Sur,Vigan City,icstvigan.org.ph,(077) 722-2359; (077) 632-0478; (077) 722-1119,
01 - Ilocos Region,WCC Aeronautical & Technological College,Private,Pangasinan,Binalonan,http://www.wccaviation.com/wcc-aeronautical-college/,(075) 633-9351,
01 - Ilocos Region,PIMSAT Colleges-San Carlos City,Private,Pangasinan,San Carlos City,http://www.pimsatcolleges.net,(075) 633-3718; (075) 522-1808,
01 - Ilocos Region,Binalatongan Community College,LUC,Pangasinan,San Carlos City,,(075) 955-5929; (075) 6363384,
01 - Ilocos Region,Mary Help of Christians Theology Seminary,Private,Pangasinan,San Fabian,mhcts.org,0922-854-5157 0997-981-0630 0933-812-8700,
01 - Ilocos Region,STI College-Vigan,Private,Ilocos Sur,Vigan City,http://www.sti.edu.ph,(077) 722-8698,
01 - Ilocos Region,STI College-Laoag,Private,Ilocos Norte,Laoag City,http://www.sti.edu,(077) 770-5179; (077) 771-4613,
01 - Ilocos Region,Señor Tesoro College,Private,Pangasinan,Calasiao,http://www.senortesorocollege.edu.ph,(075) 522-8575; (075) 522-4928,
01 - Ilocos Region,PHINMA-Upang College Urdaneta,Private,Pangasinan,Urdaneta City,http://www.up.phinma.edu.ph,(075)633-2806,
01 - Ilocos Region,Mary Cause of Our Joy College Seminary,Private,Ilocos Norte,Bacarra,,(077) 670 1223,
01 - Ilocos Region,St. Benedict College of Northern Luzon,Private,Ilocos Sur,Vigan City,,,
01 - Ilocos Region,Leading Edge International Aviation Academy,Private,La Union,City of San Fernando,kngozun01@gmail.com & amtsleiaai@gmail.com /http://www.leadingedge.com.ph/,0977-446-8891,
01 - Ilocos Region,Kingsville Advanced School,Private,Pangasinan,Tayug,http://www.kingsville.edu.ph,(075) 636 1584,
01 - Ilocos Region,Bayambang Polytechnic College,LUC,Pangasinan,Bayambang,,,
01 - Ilocos Region,Philippine Remnant College,Private,La Union,Caba,prccaba@remnantschools.com,072 6074435,
02 - Cagayan Valley,Aldersgate College,Private,Nueva Vizcaya,Solano,aldersgate-college.com,(078) 326-5645;(078) 326-5085,
02 - Cagayan Valley,Isabela State University-Angadanan Campus,SUC Satellite,Isabela,Angadanan,,0917-5185587,
02 - Cagayan Valley,Batanes State College,SUC Main,Batanes,Basco,http://www.bscbatanes.edu.ph,0919-893200; 09357011563,
02 - Cagayan Valley,University of Cagayan Valley,Private,Cagayan,Tuguegarao City,http://www.ucv.edu.ph,(078)844-8978; (078)396-1662,
02 - Cagayan Valley,Cagayan State University-Tuguegarao (Carig),SUC Satellite,Cagayan,Tuguegarao City,http://www.csu.edu.ph,(078) 304-1949,
02 - Cagayan Valley,Isabela State University-Cauayan Campus,SUC Satellite,Isabela,Cauayan City,http://www.isu-cauayan.edu.ph,(078) 652-2213; (078) 260-0058; (078) 260-3418,
02 - Cagayan Valley,Cagayan State University-Aparri,SUC Satellite,Cagayan,Aparri,,(078)888-0562; (078)888-0786,
02 - Cagayan Valley,Cagayan State University-Gonzaga,SUC Satellite,Cagayan,Gonzaga,,,
02 - Cagayan Valley,Cagayan State University-Lallo,SUC Satellite,Cagayan,Lal-Lo,,9061054797,
02 - Cagayan Valley,Cagayan State University-Lasam,SUC Satellite,Cagayan,Lasam,http://www.csu.edu.ph,,
02 - Cagayan Valley,Cagayan State University-Piat,SUC Satellite,Cagayan,Piat,http://www.csupiat.edu.ph,9151111305,
02 - Cagayan Valley,Cagayan State University-Sanchez Mira,SUC Satellite,Cagayan,Sanchez Mira,http://www.csu.edu.ph,(078) 822-9227; (078)844-0098; (078) 844-0099,
02 - Cagayan Valley,Isabela State University-San Mariano Campus,SUC Satellite,Isabela,San Mariano,isu.edu.ph,0917-5449661; 09175527584,
02 - Cagayan Valley,Eveland Christian College,Private,Isabela,San Mateo,,(078) 323-0845; (078) 323-0844,
02 - Cagayan Valley,Isabela Colleges,Private,Isabela,Cauayan City,http://isabela.colleges.tripod.com,(078) 652-3541,
02 - Cagayan Valley,Isabela State University-Main (Echague),SUC Main,Isabela,Echague,http://www.isu.edu.ph,(078) 305-9013; (078) 305-9020; 0918-3326193,
02 - Cagayan Valley,Isabela State University-Cabagan,SUC Satellite,Isabela,Cabagan,http://www.isu.edu.ph,(078) 636-3607; 09175660026,
02 - Cagayan Valley,Isabela State University-Ilagan Campus,SUC Satellite,Isabela,Ilagan City,isu.ilagan.edu.ph,(078) 624-1707; (078)323-3551,
02 - Cagayan Valley,Isabela State University-Jones Campus,SUC Satellite,Isabela,Jones,http://www.isu.edu.ph,0917-5918215,
02 - Cagayan Valley,Isabela State University-Roxas Campus,SUC Satellite,Isabela,Roxas,http://www.isu.edu.ph/index.php/campuses/roxas-campus,(078) 642-7572; (078) 642-8682,
02 - Cagayan Valley,Isabela State University-San Mateo Campus,SUC Satellite,Isabela,San Mateo,http://www.isu.edu.ph,(078)305-9013,
02 - Cagayan Valley,University of La Salette,Private,Isabela,Santiago City,http://www.universityoflasalette.edu.ph,(078) 682-4771; (078) 682-5167,
02 - Cagayan Valley,Lyceum of Aparri,Private,Cagayan,Aparri,lyceumofaparri.edu.ph,(078) 888-2736; (078) 888-2075,
02 - Cagayan Valley,Lyceum of Tuao,Private,Cagayan,Tuao,,,
02 - Cagayan Valley,Medical Colleges of Northern Philippines,Private,Cagayan,Peñablanca,http://www.mcnpisap.com,(078) 304-1010; (078) 846-7549,
02 - Cagayan Valley,Northeastern College,Private,Isabela,Santiago City,http://www.northeasterncollege.edu.ph,(078) 682-8454,
02 - Cagayan Valley,Northern Cagayan Colleges Foundation,Private,Cagayan,Ballesteros,,(078) 862-3031,
02 - Cagayan Valley,Nueva Vizcaya State University - Main Bayombong,SUC Main,Nueva Vizcaya,Bayombong,http://www.nvsu.edu.ph,(078) 321-2112; (078) 321-2111;,
02 - Cagayan Valley,Nueva Vizcaya State University-Bambang,SUC Satellite,Nueva Vizcaya,Bambang,http://www.nvsu.edu.ph,(078) 321-2112; (078) 392 1605,
02 - Cagayan Valley,Our Lady of the Pillar College-Cauayan,Private,Isabela,Cauayan City,http://www.olpcc.edu.ph,(078) 652-0685; (078) 652-1748; (078) 652-0685,
02 - Cagayan Valley,Patria Sable Corpus College,Private,Isabela,Santiago City,http://www.pscc.edu.ph,(078) 305-3166; (078) 305-3179,
02 - Cagayan Valley,PLT College,Private,Nueva Vizcaya,Bayombong,http://www.pltcollege.educ.ph,(078) 805-3682 loc 101; (078) 805-3682,
02 - Cagayan Valley,Philippine Normal University-North Luzon Campus,SUC Satellite,Isabela,Alicia,http://www.pnu.edu.ph,(078) 662-8016,
02 - Cagayan Valley,Quezon Colleges of the North,Private,Cagayan,Ballesteros,,(078) 255-0937,
02 - Cagayan Valley,Quirino State University - Cabarroguis,SUC Satellite,Quirino,Cabarroguis,qsu.edu.ph,9053485200,
02 - Cagayan Valley,Quirino State University,SUC Main,Quirino,Diffun,http://www.qsu.edu.ph,(078) 692-7056; 0939 935 2052,
02 - Cagayan Valley,Quirino State University - Maddela,SUC Satellite,Quirino,Maddela,,,
02 - Cagayan Valley,Saint Anthony's College,Private,Cagayan,Sta. Ana,,(078) 579-4721; 09171435104; 09359243973,
02 - Cagayan Valley,Saint Dominic College of Batanes,Private,Batanes,Basco,,9475675752,
02 - Cagayan Valley,St. Ferdinand College-Ilagan,Private,Isabela,Ilagan City,http://www.sfc.edu.ph,(078) 624-0067,
02 - Cagayan Valley,Saint Joseph's College of Baggao,Private,Cagayan,Baggao,,9175780176,
02 - Cagayan Valley,University of Saint Louis-Tuguegarao,Private,Cagayan,Tuguegarao City,http://www.usl.edu.ph,(078) 844-1872; (078) 844-1873; (078) 844-1822; (078) 844-0889; (078) 846-2678,
02 - Cagayan Valley,Saint Mary's University of Bayombong,Private,Nueva Vizcaya,Bayombong,http://www.smunet@smu.edu.ph,(078) 321-2117; (078) 321-2221,
02 - Cagayan Valley,Saint Paul University Philippines,Private,Cagayan,Tuguegarao City,http://www.spup.edu.ph,(078) 846-4305; (078) 396-1987 to 1994,
02 - Cagayan Valley,Mallig Plains Colleges,Private,Isabela,Mallig,,,
02 - Cagayan Valley,FL Vargas College-Tuguegarao,Private,Cagayan,Tuguegarao City,,(078) 844-7941; (078) 396-1347,
02 - Cagayan Valley,Philippine Law Enforcement College,Private,Cagayan,Tuguegarao City,,09154478350; 09178996600,
02 - Cagayan Valley,International School of Asia and the Pacific,Private,Cagayan,Peñablanca,http://www.mcnpisap.com,(078) 304-1010; (078) 846-7549,
02 - Cagayan Valley,Isabela College of Arts and Technology,Private,Isabela,Cauayan City,,(078) 652-1038; 0918-9094340; (078) 652-1038,
02 - Cagayan Valley,AMA Computer College-Santiago City,Private,Isabela,Santiago City,http://www.amaes.edu.ph,(078) 682-3912; (078) 682-4108,
02 - Cagayan Valley,Cagayan Valley Computer and Information Technology College,Private,Isabela,Santiago City,cvcitc.edu.ph,(078) 305-0139,
02 - Cagayan Valley,John Wesley College,Private,Cagayan,Tuguegarao City,,(078) 846-4084; (078) 844-1002,
02 - Cagayan Valley,AMA Computer College-Tuguegarao City,Private,Cagayan,Tuguegarao City,http://www.amaes.edu.ph,(078) 304-2978; (078) 844-0785,
02 - Cagayan Valley,SISTECH College of Santiago City,Private,Isabela,Santiago City,,(078) 305-0849; 0917-8553655,
02 - Cagayan Valley,Santiago City Colleges,Private,Isabela,Santiago City,,(078) 305-1758,
02 - Cagayan Valley,Saint Ferdinand College-Cabagan Campus,Private,Isabela,Cabagan,http://www.sfc.edu.ph,(078) 636-3376,
02 - Cagayan Valley,F.L. Vargas College-Abulug Campus,Private,Cagayan,Abulug,,9569139669,
02 - Cagayan Valley,Metropolitan School of Science and Technology,Private,Isabela,Santiago City,,(078) 258-1451; 09661448993,
02 - Cagayan Valley,University of Perpetual Help System,Private,Isabela,Cauayan City,http://www.uphsl.edu.ph,(078) 307-0094,
02 - Cagayan Valley,King's College of the Philippines-Bambang,Private,Nueva Vizcaya,Bambang,,(078)803-2185; 078-392-1635; 09154766653; 09086103848,
02 - Cagayan Valley,Global Academy of Technology and Entrepreneurship,Private,Isabela,Santiago City,,(078)305-1009,
02 - Cagayan Valley,HGBaquiran College,Private,Isabela,Tumauini,,(078) 323-1113,
02 - Cagayan Valley,Infant Jesus Montessori School (College Department),Private,Isabela,Santiago City,,(078) 305-0314; (078) 305-1841; (078) 305-1609,
02 - Cagayan Valley,Maila Rosario Colleges,Private,Cagayan,Tuguegarao City,whttp://www.maila.com,(078) 565-665; (078) 565-6511,
02 - Cagayan Valley,Our Lady of the Pillar College-Cauayan San Manuel Branch,Private,Isabela,San Manuel,http://www.olpcc.edu.ph,(078) 652-0685; 09178138679; 09175303364,
02 - Cagayan Valley,Northeast Luzon Adventist College,Private,Isabela,Alicia,,(078)307-5710,
02 - Cagayan Valley,Cagayan State University-Andrews,SUC Main,Cagayan,Tuguegarao City,http://www.csu.edu.ph,(078) 844-0098; (078) 844-0099; (078) 844-4119; (078) 846-2443; (078)844-0430,
02 - Cagayan Valley,Isabela State University-Palanan Campus,SUC Satellite,Isabela,Palanan,http://www.isu.edu.ph,09352741478; 09295573208,
02 - Cagayan Valley,La Salette of Roxas College,Private,Isabela,Roxas,,(078) 642-0135,
02 - Cagayan Valley,STI College-Cauayan,Private,Isabela,Cauayan City,,,
03 - Central Luzon,Angeles University Foundation,Private,Pampanga,Angeles City,http://www.auf.edu.ph,(045) 625-2888; (045) 888-6000,
03 - Central Luzon,Sto. Rosario Sapang Palay College,Private,Bulacan,San Jose Del Monte City,srspc.edu.ph,(044) 913-0006; 0947-8249884,
03 - Central Luzon,Baliuag University,Private,Bulacan,Baliuag,http://www.baliuagu.edu.ph,(044) 766-2045; (044) 766-3345; (044) 766-3344,
03 - Central Luzon,Baliwag Maritime Foundation,Private,Bulacan,San Rafael,,(044) 766-0316; (044) 766-1263; 0932-8556903,
03 - Central Luzon,Bataan Peninsula State University-Dinalupihan,SUC Satellite,Bataan,Dinalupihan,,(047) 481-1765,
03 - Central Luzon,Bataan Peninsula State University-Abucay,SUC Satellite,Bataan,Abucay,,(047) 481-5679,
03 - Central Luzon,Bataan Peninsula State University-Bagac,SUC Satellite,Bataan,Bagac,,,
03 - Central Luzon,Bataan Heroes Memorial College,Private,Bataan,Balanga City,http://www.bhmc.edu.ph,(047) 237-2383; (047) 237-7018,
03 - Central Luzon,Bulacan Agricultural State College,SUC Main,Bulacan,San Ildefonso,http://www.basc.edu.ph,(044) 762-1427; (044) 762-0022,
03 - Central Luzon,Bulacan State University-Main,SUC Main,Bulacan,Malolos City,http://www.bulsu.edu.ph,(044) 791-0153,
03 - Central Luzon,Bulacan State University-Bustos,SUC Satellite,Bulacan,Bustos,http://www.bulsu.edu.ph,(044) 791-0153,
03 - Central Luzon,Bulacan State University-San Jose Del Monte,SUC Satellite,Bulacan,San Jose Del Monte City,http://www.bulsu.edu.ph,(044) 791-0153,
03 - Central Luzon,Bulacan State University-Meneses,SUC Satellite,Bulacan,Bulacan,http://www.bulsu.edu.ph,(044) 791-0153,
03 - Central Luzon,Bulacan State University-Hagonoy,SUC Satellite,Bulacan,Hagonoy,http://www.bulsu.edu.ph,(044) 791-0153,
03 - Central Luzon,Camiling Colleges,Private,Tarlac,Camiling,,(045) 934-0575,
03 - Central Luzon,CIT Colleges of Paniqui Foundation,Private,Tarlac,Paniqui,,(045) 931-0512; (02) 712-0859,
03 - Central Luzon,Central Luzon Doctors' Hospital Educational Institution,Private,Tarlac,Tarlac City,http://www.cldhei.edu.ph,(045) 982-5019; (045) 982-0780; (045) 982-2745,
03 - Central Luzon,Central Luzon College of Science and Technology-Olongapo City,Private,Zambales,Olongapo City,http://www.clcst.edu.ph,(047) 224-5855; (047) 224-1288,
03 - Central Luzon,Nueva Ecija University of Science and Technology-Main,SUC Main,Nueva Ecija,Cabanatuan City,neust.edu.ph,(044) 463-0226; (044) 464-3674,
03 - Central Luzon,Central Luzon State University,SUC Main,Nueva Ecija,Science City of Muñoz,http://clsu.edu.ph,(044) 456-0107; (044) 456-5188; (044) 456-5202,
